
QQQ10484.	Hall/VdC Norms: Male#0001	emoAP 
QQQ10680.	Hall/VdC Norms: Male#0201	
QQQ10681.	Hall/VdC Norms: Male#0202	emoAP 
QQQ10682.	Hall/VdC Norms: Male#0203	emoSD 
QQQ10683.	Hall/VdC Norms: Male#0204	
QQQ10684.	Hall/VdC Norms: Male#0205	
QQQ10685.	Hall/VdC Norms: Male#0206	emoCO 
QQQ10686.	Hall/VdC Norms: Male#0207	
QQQ10687.	Hall/VdC Norms: Male#0208	
QQQ10688.	Hall/VdC Norms: Male#0209	
QQQ10689.	Hall/VdC Norms: Male#0210	
QQQ10690.	Hall/VdC Norms: Male#0211	
QQQ10691.	Hall/VdC Norms: Male#0212	
QQQ10692.	Hall/VdC Norms: Male#0213	emoCO 
QQQ10693.	Hall/VdC Norms: Male#0214	
QQQ10694.	Hall/VdC Norms: Male#0215	
QQQ10695.	Hall/VdC Norms: Male#0216	emoAP emoAP 
QQQ10696.	Hall/VdC Norms: Male#0217	emoHA emoSD 
QQQ10697.	Hall/VdC Norms: Male#0218	emoCO 
QQQ10698.	Hall/VdC Norms: Male#0219	
QQQ10699.	Hall/VdC Norms: Male#0220	emoAP 
QQQ10700.	Hall/VdC Norms: Male#0221	
QQQ10701.	Hall/VdC Norms: Male#0222	
QQQ10702.	Hall/VdC Norms: Male#0223	
QQQ10703.	Hall/VdC Norms: Male#0224	
QQQ10704.	Hall/VdC Norms: Male#0225	
QQQ10705.	Hall/VdC Norms: Male#0226	emoAN 
QQQ10706.	Hall/VdC Norms: Male#0227	emoAN 
QQQ10707.	Hall/VdC Norms: Male#0228	emoCO emoHA 
QQQ10708.	Hall/VdC Norms: Male#0229	
QQQ10709.	Hall/VdC Norms: Male#0230	
QQQ10710.	Hall/VdC Norms: Male#0231	
QQQ10711.	Hall/VdC Norms: Male#0232	
QQQ10712.	Hall/VdC Norms: Male#0233	
QQQ10713.	Hall/VdC Norms: Male#0234	emoCO emoAP 
QQQ10714.	Hall/VdC Norms: Male#0235	
QQQ10715.	Hall/VdC Norms: Male#0236	
QQQ10716.	Hall/VdC Norms: Male#0237	emoAP 
QQQ10717.	Hall/VdC Norms: Male#0238	emoAN 
QQQ10718.	Hall/VdC Norms: Male#0239	
QQQ10719.	Hall/VdC Norms: Male#0240	
QQQ10720.	Hall/VdC Norms: Male#0241	
QQQ10721.	Hall/VdC Norms: Male#0242	emoAP 
QQQ10722.	Hall/VdC Norms: Male#0243	
QQQ10723.	Hall/VdC Norms: Male#0244	emoSD 
QQQ10724.	Hall/VdC Norms: Male#0245	
QQQ10725.	Hall/VdC Norms: Male#0246	
QQQ10726.	Hall/VdC Norms: Male#0247	
QQQ10727.	Hall/VdC Norms: Male#0248	
QQQ10728.	Hall/VdC Norms: Male#0249	
QQQ10729.	Hall/VdC Norms: Male#0250	
QQQ10730.	Hall/VdC Norms: Male#0251	emoAP 
QQQ10731.	Hall/VdC Norms: Male#0252	
QQQ10732.	Hall/VdC Norms: Male#0253	
QQQ10733.	Hall/VdC Norms: Male#0254	
QQQ10734.	Hall/VdC Norms: Male#0255	emoAP 
QQQ10735.	Hall/VdC Norms: Male#0256	emoHA 
QQQ10736.	Hall/VdC Norms: Male#0257	emoAP emoCO 
QQQ10737.	Hall/VdC Norms: Male#0258	emoAN 
QQQ10738.	Hall/VdC Norms: Male#0259	emoHA 
QQQ10739.	Hall/VdC Norms: Male#0260	emoAP 
QQQ10740.	Hall/VdC Norms: Male#0261	emoHA 
QQQ10741.	Hall/VdC Norms: Male#0262	emoHA emoHA 
QQQ10742.	Hall/VdC Norms: Male#0263	emoAP emoAP 
QQQ10743.	Hall/VdC Norms: Male#0264	emoHA 
QQQ10744.	Hall/VdC Norms: Male#0265	
QQQ10745.	Hall/VdC Norms: Male#0266	emoCO emoCO 
QQQ10746.	Hall/VdC Norms: Male#0267	
QQQ10747.	Hall/VdC Norms: Male#0268	emoAN 
QQQ10748.	Hall/VdC Norms: Male#0269	
QQQ10749.	Hall/VdC Norms: Male#0270	
QQQ10750.	Hall/VdC Norms: Male#0271	emoAP 
QQQ10751.	Hall/VdC Norms: Male#0272	emoCO emoSD 
QQQ10752.	Hall/VdC Norms: Male#0273	emoCO emoSD 
QQQ10753.	Hall/VdC Norms: Male#0274	emoCO emoSD 
QQQ10754.	Hall/VdC Norms: Male#0275	
QQQ10755.	Hall/VdC Norms: Male#0276	emoHA emoHA emoAP 
QQQ10756.	Hall/VdC Norms: Male#0277	emoAN 
QQQ10757.	Hall/VdC Norms: Male#0278	emoHA 
QQQ10758.	Hall/VdC Norms: Male#0279	emoAP emoAN 
QQQ10759.	Hall/VdC Norms: Male#0280	emoAP 
QQQ10760.	Hall/VdC Norms: Male#0281	emoAP emoHA emoCO emoHA 
QQQ10761.	Hall/VdC Norms: Male#0282	
QQQ10762.	Hall/VdC Norms: Male#0283	emoCO 
QQQ10763.	Hall/VdC Norms: Male#0284	
QQQ10764.	Hall/VdC Norms: Male#0285	emoHA 
QQQ10765.	Hall/VdC Norms: Male#0286	
QQQ10766.	Hall/VdC Norms: Male#0287	
QQQ10767.	Hall/VdC Norms: Male#0288	
QQQ10768.	Hall/VdC Norms: Male#0289	
QQQ10769.	Hall/VdC Norms: Male#0290	emoCO 
QQQ10770.	Hall/VdC Norms: Male#0291	emoCO emoCO 
QQQ10771.	Hall/VdC Norms: Male#0292	emoCO 
QQQ10772.	Hall/VdC Norms: Male#0293	emoCO 
QQQ10773.	Hall/VdC Norms: Male#0294	emoSD 
QQQ10774.	Hall/VdC Norms: Male#0295	emoCO emoSD 
QQQ10775.	Hall/VdC Norms: Male#0296	emoAP emoAP 
QQQ10776.	Hall/VdC Norms: Male#0297	
QQQ10777.	Hall/VdC Norms: Male#0298	emoAP emoAN 
QQQ10778.	Hall/VdC Norms: Male#0299	
QQQ10779.	Hall/VdC Norms: Male#0300	emoHA 
QQQ10780.	Hall/VdC Norms: Male#0301	
QQQ10781.	Hall/VdC Norms: Male#0302	
QQQ10782.	Hall/VdC Norms: Male#0303	emoAP 
QQQ10783.	Hall/VdC Norms: Male#0304	
QQQ10784.	Hall/VdC Norms: Male#0305	
QQQ10785.	Hall/VdC Norms: Male#0306	
QQQ10786.	Hall/VdC Norms: Male#0307	emoAP 
QQQ10787.	Hall/VdC Norms: Male#0308	emoHA 
QQQ10788.	Hall/VdC Norms: Male#0309	
QQQ10789.	Hall/VdC Norms: Male#0310	
QQQ10790.	Hall/VdC Norms: Male#0311	
QQQ10791.	Hall/VdC Norms: Male#0312	
QQQ10792.	Hall/VdC Norms: Male#0313	emoAP 
QQQ10793.	Hall/VdC Norms: Male#0314	emoAP 
QQQ10794.	Hall/VdC Norms: Male#0315	
QQQ10795.	Hall/VdC Norms: Male#0316	
QQQ10796.	Hall/VdC Norms: Male#0317	
QQQ10797.	Hall/VdC Norms: Male#0318	
QQQ10798.	Hall/VdC Norms: Male#0319	
QQQ10799.	Hall/VdC Norms: Male#0320	emoHA 
QQQ10800.	Hall/VdC Norms: Male#0321	
QQQ10801.	Hall/VdC Norms: Male#0322	
QQQ10802.	Hall/VdC Norms: Male#0323	
QQQ10803.	Hall/VdC Norms: Male#0324	
QQQ10804.	Hall/VdC Norms: Male#0325	emoAP 
QQQ10805.	Hall/VdC Norms: Male#0326	
QQQ10806.	Hall/VdC Norms: Male#0327	
QQQ10807.	Hall/VdC Norms: Male#0328	
QQQ10808.	Hall/VdC Norms: Male#0329	
QQQ10809.	Hall/VdC Norms: Male#0330	emoAP 
QQQ10810.	Hall/VdC Norms: Male#0331	
QQQ10811.	Hall/VdC Norms: Male#0332	emoAN 
QQQ10812.	Hall/VdC Norms: Male#0333	emoAP emoAP 
QQQ10813.	Hall/VdC Norms: Male#0334	
QQQ10814.	Hall/VdC Norms: Male#0335	emoAP 
QQQ10815.	Hall/VdC Norms: Male#0336	
QQQ10816.	Hall/VdC Norms: Male#0337	
QQQ10817.	Hall/VdC Norms: Male#0338	
QQQ10818.	Hall/VdC Norms: Male#0339	
QQQ10819.	Hall/VdC Norms: Male#0340	
QQQ10820.	Hall/VdC Norms: Male#0341	
QQQ10821.	Hall/VdC Norms: Male#0342	emoCO 
QQQ10822.	Hall/VdC Norms: Male#0343	
QQQ10823.	Hall/VdC Norms: Male#0344	emoCO 
QQQ10824.	Hall/VdC Norms: Male#0345	emoCO 
QQQ10825.	Hall/VdC Norms: Male#0346	
QQQ10826.	Hall/VdC Norms: Male#0347	emoCO 
QQQ10827.	Hall/VdC Norms: Male#0348	
QQQ10828.	Hall/VdC Norms: Male#0350	emoCO 
QQQ10829.	Hall/VdC Norms: Male#0352	
QQQ10830.	Hall/VdC Norms: Male#0353	
QQQ10831.	Hall/VdC Norms: Male#0354	
QQQ10832.	Hall/VdC Norms: Male#0355	
QQQ10833.	Hall/VdC Norms: Male#0356	
QQQ10834.	Hall/VdC Norms: Male#0357	emoAP 
QQQ10835.	Hall/VdC Norms: Male#0358	
QQQ10836.	Hall/VdC Norms: Male#0359	
QQQ10837.	Hall/VdC Norms: Male#0360	
QQQ10838.	Hall/VdC Norms: Male#0361	emoCO 
QQQ10839.	Hall/VdC Norms: Male#0362	
QQQ10840.	Hall/VdC Norms: Male#0363	
QQQ10841.	Hall/VdC Norms: Male#0364	emoAN 
QQQ10842.	Hall/VdC Norms: Male#0365	emoCO emoHA 
QQQ10843.	Hall/VdC Norms: Male#0366	
QQQ10844.	Hall/VdC Norms: Male#0367	emoAN 
QQQ10845.	Hall/VdC Norms: Male#0368	
QQQ10846.	Hall/VdC Norms: Male#0369	
QQQ10847.	Hall/VdC Norms: Male#0370	
QQQ10848.	Hall/VdC Norms: Male#0371	
QQQ10849.	Hall/VdC Norms: Male#0372	
QQQ10850.	Hall/VdC Norms: Male#0373	
QQQ10851.	Hall/VdC Norms: Male#0374	
QQQ10852.	Hall/VdC Norms: Male#0375	emoHA 
QQQ10853.	Hall/VdC Norms: Male#0376	
QQQ10854.	Hall/VdC Norms: Male#0377	
QQQ10855.	Hall/VdC Norms: Male#0378	emoCO 
QQQ10856.	Hall/VdC Norms: Male#0379	
QQQ10857.	Hall/VdC Norms: Male#0380	
QQQ10858.	Hall/VdC Norms: Male#0381	
QQQ10859.	Hall/VdC Norms: Male#0382	
QQQ10860.	Hall/VdC Norms: Male#0383	emoCO emoCO 
QQQ10861.	Hall/VdC Norms: Male#0384	
QQQ10862.	Hall/VdC Norms: Male#0385	
QQQ10863.	Hall/VdC Norms: Male#0386	
QQQ10864.	Hall/VdC Norms: Male#0387	
QQQ10865.	Hall/VdC Norms: Male#0388	
QQQ10866.	Hall/VdC Norms: Male#0389	
QQQ10867.	Hall/VdC Norms: Male#0390	
QQQ10868.	Hall/VdC Norms: Male#0391	
QQQ10869.	Hall/VdC Norms: Male#0395	
QQQ10870.	Hall/VdC Norms: Male#0396	
QQQ10871.	Hall/VdC Norms: Male#0397	
QQQ10872.	Hall/VdC Norms: Male#0398	
QQQ10873.	Hall/VdC Norms: Male#0399	
QQQ10874.	Hall/VdC Norms: Male#0400	emoCO 
QQQ10875.	Hall/VdC Norms: Male#0401	emoHA 
QQQ10876.	Hall/VdC Norms: Male#0402	emoSD 
QQQ10877.	Hall/VdC Norms: Male#0403	emoHA emoCO 
QQQ10878.	Hall/VdC Norms: Male#0404	emoHA emoAP 
QQQ10879.	Hall/VdC Norms: Male#0405	emoAP emoAP 
QQQ10880.	Hall/VdC Norms: Male#0406	
QQQ10881.	Hall/VdC Norms: Male#0407	emoSD emoSD 
QQQ10882.	Hall/VdC Norms: Male#0408	
QQQ10883.	Hall/VdC Norms: Male#0409	
QQQ10884.	Hall/VdC Norms: Male#0410	
QQQ10885.	Hall/VdC Norms: Male#0411	
QQQ10886.	Hall/VdC Norms: Male#0412	emoCO 
QQQ10887.	Hall/VdC Norms: Male#0413	
QQQ10888.	Hall/VdC Norms: Male#0414	
QQQ10889.	Hall/VdC Norms: Male#0415	
QQQ10890.	Hall/VdC Norms: Male#0416	
QQQ10891.	Hall/VdC Norms: Male#0417	
QQQ10892.	Hall/VdC Norms: Male#0418	
QQQ10893.	Hall/VdC Norms: Male#0419	emoAP 
QQQ10894.	Hall/VdC Norms: Male#0420	emoAP 
QQQ10895.	Hall/VdC Norms: Male#0421	emoAP 
QQQ10896.	Hall/VdC Norms: Male#0422	emoCO 
QQQ10897.	Hall/VdC Norms: Male#0423	emoCO 
QQQ10898.	Hall/VdC Norms: Male#0424	emoAN 
QQQ10899.	Hall/VdC Norms: Male#0425	emoAP 
QQQ10900.	Hall/VdC Norms: Male#0426	
QQQ10901.	Hall/VdC Norms: Male#0427	emoAP 
QQQ10902.	Hall/VdC Norms: Male#0428	emoSD 
QQQ10903.	Hall/VdC Norms: Male#0429	emoAP 
QQQ10904.	Hall/VdC Norms: Male#0430	emoAP 
QQQ10905.	Hall/VdC Norms: Male#0431	
QQQ10906.	Hall/VdC Norms: Male#0432	emoAN 
QQQ10907.	Hall/VdC Norms: Male#0433	emoAP emoAN 
QQQ10908.	Hall/VdC Norms: Male#0434	emoAP 
QQQ10909.	Hall/VdC Norms: Male#0435	
QQQ10910.	Hall/VdC Norms: Male#0436	
QQQ10911.	Hall/VdC Norms: Male#0437	emoAN emoAN emoHA 
QQQ10912.	Hall/VdC Norms: Male#0438	emoHA emoSD 
QQQ10913.	Hall/VdC Norms: Male#0439	emoSD 
QQQ10914.	Hall/VdC Norms: Male#0440	emoAP 
QQQ10915.	Hall/VdC Norms: Male#0441	
QQQ10916.	Hall/VdC Norms: Male#0442	
QQQ10917.	Hall/VdC Norms: Male#0443	
QQQ10918.	Hall/VdC Norms: Male#0444	
QQQ10919.	Hall/VdC Norms: Male#0445	
QQQ10920.	Hall/VdC Norms: Male#0446	emoAP emoHA 
QQQ10921.	Hall/VdC Norms: Male#0447	emoCO 
QQQ10922.	Hall/VdC Norms: Male#0448	
QQQ10923.	Hall/VdC Norms: Male#0449	emoHA 
QQQ10924.	Hall/VdC Norms: Male#0450	
QQQ10925.	Hall/VdC Norms: Male#0451	emoHA emoAN 
QQQ10926.	Hall/VdC Norms: Male#0452	
QQQ10927.	Hall/VdC Norms: Male#0453	
QQQ10928.	Hall/VdC Norms: Male#0454	
QQQ10929.	Hall/VdC Norms: Male#0455	
QQQ10930.	Hall/VdC Norms: Male#0456	emoHA 
QQQ10931.	Hall/VdC Norms: Male#0457	
QQQ10932.	Hall/VdC Norms: Male#0458	emoAP 
QQQ10933.	Hall/VdC Norms: Male#0459	
QQQ10934.	Hall/VdC Norms: Male#0460	
QQQ10935.	Hall/VdC Norms: Male#0461	
QQQ10936.	Hall/VdC Norms: Male#0462	emoHA 
QQQ10937.	Hall/VdC Norms: Male#0463	emoCO 
QQQ10938.	Hall/VdC Norms: Male#0464	
QQQ10939.	Hall/VdC Norms: Male#0465	
QQQ10940.	Hall/VdC Norms: Male#0466	
QQQ10941.	Hall/VdC Norms: Male#0467	emoAN emoAN 
QQQ10942.	Hall/VdC Norms: Male#0468	
QQQ10943.	Hall/VdC Norms: Male#0469	emoAP 
QQQ10944.	Hall/VdC Norms: Male#0470	emoCO 
QQQ10945.	Hall/VdC Norms: Male#0471	emoHA 
QQQ10946.	Hall/VdC Norms: Male#0472	
QQQ10947.	Hall/VdC Norms: Male#0473	
QQQ10948.	Hall/VdC Norms: Male#0474	
QQQ10949.	Hall/VdC Norms: Male#0475	emoCO emoSD emoCO 
QQQ10950.	Hall/VdC Norms: Male#0476	emoAN emoSD 
QQQ10951.	Hall/VdC Norms: Male#0477	emoAP emoCO 
QQQ10952.	Hall/VdC Norms: Male#0478	
QQQ10953.	Hall/VdC Norms: Male#0479	
QQQ10954.	Hall/VdC Norms: Male#0480	emoCO emoHA 
QQQ10955.	Hall/VdC Norms: Male#0481	
QQQ10956.	Hall/VdC Norms: Male#0482	
QQQ10957.	Hall/VdC Norms: Male#0483	
QQQ10958.	Hall/VdC Norms: Male#0484	
QQQ10959.	Hall/VdC Norms: Male#0485	
QQQ10960.	Hall/VdC Norms: Male#0486	
QQQ10961.	Hall/VdC Norms: Male#0487	emoSD 
QQQ10962.	Hall/VdC Norms: Male#0488	
QQQ10963.	Hall/VdC Norms: Male#0489	
QQQ10964.	Hall/VdC Norms: Male#0490	emoAN emoAP 
QQQ10965.	Hall/VdC Norms: Male#0491	
QQQ10966.	Hall/VdC Norms: Male#0492	emoHA emoAP emoAN 
QQQ10967.	Hall/VdC Norms: Male#0493	emoAN emoAP 
QQQ10968.	Hall/VdC Norms: Male#0494	emoAP 
QQQ10969.	Hall/VdC Norms: Male#0495	emoSD emoAP 
