QQQ10484.	Hall/VdC Norms: Male#0001	setID 
QQQ10531.	Hall/VdC Norms: Male#0048	setNS 
QQQ10532.	Hall/VdC Norms: Male#0049	setIF 
QQQ10533.	Hall/VdC Norms: Male#0050	setOQ 
QQQ10534.	Hall/VdC Norms: Male#0051	setOU 
QQQ10535.	Hall/VdC Norms: Male#0052	setIQ 
QQQ10536.	Hall/VdC Norms: Male#0053	setIU 
QQQ10537.	Hall/VdC Norms: Male#0054	setOQ 
QQQ10538.	Hall/VdC Norms: Male#0055	setOQ 
QQQ10539.	Hall/VdC Norms: Male#0056	setIF setOG setOF setOG setIF 
QQQ10540.	Hall/VdC Norms: Male#0057	setIF setOQ 
QQQ10541.	Hall/VdC Norms: Male#0058	setOU 
QQQ10542.	Hall/VdC Norms: Male#0059	setIF setOF 
QQQ10543.	Hall/VdC Norms: Male#0060	setOG 
QQQ10544.	Hall/VdC Norms: Male#0061	setNS 
QQQ10545.	Hall/VdC Norms: Male#0062	setAQ 
QQQ10546.	Hall/VdC Norms: Male#0063	setIU 
QQQ10547.	Hall/VdC Norms: Male#0064	setNS 
QQQ10548.	Hall/VdC Norms: Male#0065	setNS 
QQQ10549.	Hall/VdC Norms: Male#0066	setIF 
QQQ10550.	Hall/VdC Norms: Male#0067	setIF 
QQQ10551.	Hall/VdC Norms: Male#0068	setIQ 
QQQ10552.	Hall/VdC Norms: Male#0069	setIF 
QQQ10553.	Hall/VdC Norms: Male#0070	setOF 
QQQ10554.	Hall/VdC Norms: Male#0071	setIF 
QQQ10555.	Hall/VdC Norms: Male#0072	setIF 
QQQ10556.	Hall/VdC Norms: Male#0073	setOF 
QQQ10557.	Hall/VdC Norms: Male#0074	setIF 
QQQ10558.	Hall/VdC Norms: Male#0075	setIQ 
QQQ10559.	Hall/VdC Norms: Male#0076	setIF 
QQQ10560.	Hall/VdC Norms: Male#0077	setOU 
QQQ10561.	Hall/VdC Norms: Male#0078	setIF 
QQQ10562.	Hall/VdC Norms: Male#0079	setIF 
QQQ10563.	Hall/VdC Norms: Male#0080	setIQ 
QQQ10564.	Hall/VdC Norms: Male#0081	setAU 
QQQ10565.	Hall/VdC Norms: Male#0082	setOQ 
QQQ10566.	Hall/VdC Norms: Male#0083	setIQ 
QQQ10567.	Hall/VdC Norms: Male#0084	setOQ 
QQQ10568.	Hall/VdC Norms: Male#0085	setOF 
QQQ10569.	Hall/VdC Norms: Male#0086	setIF setOQ 
QQQ10570.	Hall/VdC Norms: Male#0087	setOF 
QQQ10571.	Hall/VdC Norms: Male#0088	setIQ 
QQQ10572.	Hall/VdC Norms: Male#0089	setOQ setOF 
QQQ10573.	Hall/VdC Norms: Male#0090	setOQ 
QQQ10574.	Hall/VdC Norms: Male#0091	setAQ 
QQQ10575.	Hall/VdC Norms: Male#0092	setIQ 
QQQ10576.	Hall/VdC Norms: Male#0093	setOQ 
QQQ10577.	Hall/VdC Norms: Male#0094	setIF 
QQQ10578.	Hall/VdC Norms: Male#0095	setIQ 
QQQ10579.	Hall/VdC Norms: Male#0096	setOF 
QQQ10580.	Hall/VdC Norms: Male#0097	setNS 
QQQ10581.	Hall/VdC Norms: Male#0098	setOD 
QQQ10582.	Hall/VdC Norms: Male#0099	setOU setIU 
QQQ10583.	Hall/VdC Norms: Male#0100	setIF setOF 
QQQ10584.	Hall/VdC Norms: Male#0101	setIF 
QQQ10585.	Hall/VdC Norms: Male#0102	setOU 
QQQ10586.	Hall/VdC Norms: Male#0103	setOU 
QQQ10587.	Hall/VdC Norms: Male#0104	setIF 
QQQ10588.	Hall/VdC Norms: Male#0105	setOU setOF setIF setAQ setIQ 
QQQ10589.	Hall/VdC Norms: Male#0110	setOQ 
QQQ10590.	Hall/VdC Norms: Male#0111	setOQ 
QQQ10591.	Hall/VdC Norms: Male#0112	setNS 
QQQ10592.	Hall/VdC Norms: Male#0113	setOQ 
QQQ10593.	Hall/VdC Norms: Male#0114	setOU 
QQQ10594.	Hall/VdC Norms: Male#0115	setOF 
QQQ10595.	Hall/VdC Norms: Male#0116	setIF 
QQQ10596.	Hall/VdC Norms: Male#0117	setIG 
QQQ10597.	Hall/VdC Norms: Male#0118	setOQ 
QQQ10598.	Hall/VdC Norms: Male#0119	setOU 
QQQ10599.	Hall/VdC Norms: Male#0120	setIF 
QQQ10600.	Hall/VdC Norms: Male#0121	setIQ 
QQQ10601.	Hall/VdC Norms: Male#0122	setOF setIU 
QQQ10602.	Hall/VdC Norms: Male#0123	setIQ 
QQQ10603.	Hall/VdC Norms: Male#0124	setIF 
QQQ10604.	Hall/VdC Norms: Male#0125	setIU 
QQQ10605.	Hall/VdC Norms: Male#0126	setOQ 
QQQ10606.	Hall/VdC Norms: Male#0127	setIF 
QQQ10607.	Hall/VdC Norms: Male#0128	setIQ 
QQQ10608.	Hall/VdC Norms: Male#0129	setAU 
QQQ10609.	Hall/VdC Norms: Male#0130	setAG 
QQQ10610.	Hall/VdC Norms: Male#0131	setIQ 
QQQ10611.	Hall/VdC Norms: Male#0132	setOU setIU 
QQQ10612.	Hall/VdC Norms: Male#0133	setIF 
QQQ10613.	Hall/VdC Norms: Male#0134	setIU 
QQQ10614.	Hall/VdC Norms: Male#0135	setOF 
QQQ10615.	Hall/VdC Norms: Male#0136	setIF 
QQQ10616.	Hall/VdC Norms: Male#0137	setOU setIU 
QQQ10617.	Hall/VdC Norms: Male#0138	setIU 
QQQ10618.	Hall/VdC Norms: Male#0139	setIF 
QQQ10619.	Hall/VdC Norms: Male#0140	setIU setOF 
QQQ10620.	Hall/VdC Norms: Male#0141	setOQ setIQ 
QQQ10621.	Hall/VdC Norms: Male#0142	setOF 
QQQ10622.	Hall/VdC Norms: Male#0143	setOF 
QQQ10623.	Hall/VdC Norms: Male#0144	setOU setIU 
QQQ10624.	Hall/VdC Norms: Male#0145	setIF setOQ setOQ 
QQQ10625.	Hall/VdC Norms: Male#0146	setIG 
QQQ10626.	Hall/VdC Norms: Male#0147	setOU 
QQQ10627.	Hall/VdC Norms: Male#0148	setOU 
QQQ10628.	Hall/VdC Norms: Male#0149	setIF 
QQQ10629.	Hall/VdC Norms: Male#0150	setIQ 
QQQ10630.	Hall/VdC Norms: Male#0151	setOD setIQ 
QQQ10631.	Hall/VdC Norms: Male#0152	setIU 
QQQ10632.	Hall/VdC Norms: Male#0153	setIF 
QQQ10633.	Hall/VdC Norms: Male#0154	setOQ setOD 
QQQ10634.	Hall/VdC Norms: Male#0155	setIU setOD 
QQQ10635.	Hall/VdC Norms: Male#0156	setIF 
QQQ10636.	Hall/VdC Norms: Male#0157	setIF 
QQQ10637.	Hall/VdC Norms: Male#0158	setAG 
QQQ10638.	Hall/VdC Norms: Male#0159	setOU setIQ 
QQQ10639.	Hall/VdC Norms: Male#0160	setOQ 
QQQ10640.	Hall/VdC Norms: Male#0161	setIQ 
QQQ10641.	Hall/VdC Norms: Male#0162	setIQ 
QQQ10642.	Hall/VdC Norms: Male#0163	setOQ 
QQQ10643.	Hall/VdC Norms: Male#0164	setIQ 
QQQ10644.	Hall/VdC Norms: Male#0165	setIQ 
QQQ10645.	Hall/VdC Norms: Male#0166	setIU setOG 
QQQ10646.	Hall/VdC Norms: Male#0167	setIF 
QQQ10647.	Hall/VdC Norms: Male#0168	setIQ setOQ 
QQQ10648.	Hall/VdC Norms: Male#0169	setIQ 
QQQ10649.	Hall/VdC Norms: Male#0170	setOQ 
QQQ10650.	Hall/VdC Norms: Male#0171	setOQ 
QQQ10651.	Hall/VdC Norms: Male#0172	setIF 
QQQ10652.	Hall/VdC Norms: Male#0173	setIQ 
QQQ10653.	Hall/VdC Norms: Male#0174	setOQ 
QQQ10654.	Hall/VdC Norms: Male#0175	setNS 
QQQ10655.	Hall/VdC Norms: Male#0176	setIG setOG 
QQQ10656.	Hall/VdC Norms: Male#0177	setOQ setIQ setOQ 
QQQ10657.	Hall/VdC Norms: Male#0178	setOF setID 
QQQ10658.	Hall/VdC Norms: Male#0179	setIF 
QQQ10659.	Hall/VdC Norms: Male#0180	setOQ 
QQQ10660.	Hall/VdC Norms: Male#0181	setOQ 
QQQ10661.	Hall/VdC Norms: Male#0182	setOF 
QQQ10662.	Hall/VdC Norms: Male#0183	setOG 
QQQ10663.	Hall/VdC Norms: Male#0184	setNS 
QQQ10664.	Hall/VdC Norms: Male#0185	setOF 
QQQ10665.	Hall/VdC Norms: Male#0186	setOF setIF setOF setIF 
QQQ10666.	Hall/VdC Norms: Male#0187	setOQ setAG 
QQQ10667.	Hall/VdC Norms: Male#0188	setOG 
QQQ10668.	Hall/VdC Norms: Male#0189	setOG 
QQQ10669.	Hall/VdC Norms: Male#0190	setOF setIF 
QQQ10670.	Hall/VdC Norms: Male#0191	setOQ 
QQQ10671.	Hall/VdC Norms: Male#0192	setOQ setOG setOQ 
QQQ10672.	Hall/VdC Norms: Male#0193	setIQ 
QQQ10673.	Hall/VdC Norms: Male#0194	setOF 
QQQ10674.	Hall/VdC Norms: Male#0195	setOQ setIQ 
QQQ10675.	Hall/VdC Norms: Male#0196	setIU 
QQQ10676.	Hall/VdC Norms: Male#0197	setOQ setOF setIF 
QQQ10677.	Hall/VdC Norms: Male#0198	setIF setOQ 
QQQ10678.	Hall/VdC Norms: Male#0199	setIG setOG 
QQQ10679.	Hall/VdC Norms: Male#0200	setOF 
QQQ10680.	Hall/VdC Norms: Male#0201	setOQ 
QQQ10681.	Hall/VdC Norms: Male#0202	setOF setIF 
QQQ10682.	Hall/VdC Norms: Male#0203	setIU 
QQQ10683.	Hall/VdC Norms: Male#0204	setOF 
QQQ10684.	Hall/VdC Norms: Male#0205	setOF 
QQQ10685.	Hall/VdC Norms: Male#0206	setAQ setIF 
QQQ10686.	Hall/VdC Norms: Male#0207	setIQ setIQ 
QQQ10687.	Hall/VdC Norms: Male#0208	setIQ 
QQQ10688.	Hall/VdC Norms: Male#0209	setIQ 
QQQ10689.	Hall/VdC Norms: Male#0210	setOF 
QQQ10690.	Hall/VdC Norms: Male#0211	setOQ 
QQQ10691.	Hall/VdC Norms: Male#0212	setOQ 
QQQ10692.	Hall/VdC Norms: Male#0213	setOU 
QQQ10693.	Hall/VdC Norms: Male#0214	setAQ 
QQQ10694.	Hall/VdC Norms: Male#0215	setAF setIF setOF 
QQQ10695.	Hall/VdC Norms: Male#0216	setOQ setOQ 
QQQ10696.	Hall/VdC Norms: Male#0217	setOU 
QQQ10697.	Hall/VdC Norms: Male#0218	setIU 
QQQ10698.	Hall/VdC Norms: Male#0219	setOF setOQ setAG 
QQQ10699.	Hall/VdC Norms: Male#0220	setOU 
QQQ10700.	Hall/VdC Norms: Male#0221	setOQ setIQ 
QQQ10701.	Hall/VdC Norms: Male#0222	setAG 
QQQ10702.	Hall/VdC Norms: Male#0223	setIU 
QQQ10703.	Hall/VdC Norms: Male#0224	setOF setIF 
QQQ10704.	Hall/VdC Norms: Male#0225	setIQ 
QQQ10705.	Hall/VdC Norms: Male#0226	setIF setOQ 
QQQ10706.	Hall/VdC Norms: Male#0227	setAF 
QQQ10707.	Hall/VdC Norms: Male#0228	setAQ 
QQQ10708.	Hall/VdC Norms: Male#0229	setAG setAG 
QQQ10709.	Hall/VdC Norms: Male#0230	setOF setIQ setOQ 
QQQ10710.	Hall/VdC Norms: Male#0231	setIF setOQ setIF 
QQQ10711.	Hall/VdC Norms: Male#0232	setIF 
QQQ10712.	Hall/VdC Norms: Male#0233	setOG 
QQQ10713.	Hall/VdC Norms: Male#0234	setIF setOF 
QQQ10714.	Hall/VdC Norms: Male#0235	setIF 
QQQ10715.	Hall/VdC Norms: Male#0236	setIU 
QQQ10716.	Hall/VdC Norms: Male#0237	setIF 
QQQ10717.	Hall/VdC Norms: Male#0238	setIF 
QQQ10718.	Hall/VdC Norms: Male#0239	setIU 
QQQ10719.	Hall/VdC Norms: Male#0240	setAD 
QQQ10720.	Hall/VdC Norms: Male#0241	setOF 
QQQ10721.	Hall/VdC Norms: Male#0242	setID 
QQQ10722.	Hall/VdC Norms: Male#0243	setIF setOF 
QQQ10723.	Hall/VdC Norms: Male#0244	setOQ 
QQQ10724.	Hall/VdC Norms: Male#0245	setOD 
QQQ10725.	Hall/VdC Norms: Male#0246	setOQ 
QQQ10726.	Hall/VdC Norms: Male#0247	setIF setAF 
QQQ10727.	Hall/VdC Norms: Male#0248	setIF 
QQQ10728.	Hall/VdC Norms: Male#0249	setNS 
QQQ10729.	Hall/VdC Norms: Male#0250	setOQ 
QQQ10730.	Hall/VdC Norms: Male#0251	setIQ 
QQQ10731.	Hall/VdC Norms: Male#0252	setIF 
QQQ10732.	Hall/VdC Norms: Male#0253	setIQ 
QQQ10733.	Hall/VdC Norms: Male#0254	setAQ setIQ setIQ 
QQQ10734.	Hall/VdC Norms: Male#0255	setIQ 
QQQ10735.	Hall/VdC Norms: Male#0256	setOQ 
QQQ10736.	Hall/VdC Norms: Male#0257	setAQ 
QQQ10737.	Hall/VdC Norms: Male#0258	setIF 
QQQ10738.	Hall/VdC Norms: Male#0259	setOQ 
QQQ10739.	Hall/VdC Norms: Male#0260	setIQ 
QQQ10740.	Hall/VdC Norms: Male#0261	setOF 
QQQ10741.	Hall/VdC Norms: Male#0262	setOQ 
QQQ10742.	Hall/VdC Norms: Male#0263	setOQ 
QQQ10743.	Hall/VdC Norms: Male#0264	setOU setIU 
QQQ10744.	Hall/VdC Norms: Male#0265	setOQ 
QQQ10745.	Hall/VdC Norms: Male#0266	setOF 
QQQ10746.	Hall/VdC Norms: Male#0267	setOQ 
QQQ10747.	Hall/VdC Norms: Male#0268	setIF 
QQQ10748.	Hall/VdC Norms: Male#0269	setIQ 
QQQ10749.	Hall/VdC Norms: Male#0270	setOD setIQ 
QQQ10750.	Hall/VdC Norms: Male#0271	setOF setIU 
QQQ10751.	Hall/VdC Norms: Male#0272	setIF 
QQQ10752.	Hall/VdC Norms: Male#0273	setOF setIF 
QQQ10753.	Hall/VdC Norms: Male#0274	setIF setOF 
QQQ10754.	Hall/VdC Norms: Male#0275	setAD setIQ 
QQQ10755.	Hall/VdC Norms: Male#0276	setOQ 
QQQ10756.	Hall/VdC Norms: Male#0277	setIF 
QQQ10757.	Hall/VdC Norms: Male#0278	setAQ 
QQQ10758.	Hall/VdC Norms: Male#0279	setAQ 
QQQ10759.	Hall/VdC Norms: Male#0280	setOU 
QQQ10760.	Hall/VdC Norms: Male#0281	setOG setOU 
QQQ10761.	Hall/VdC Norms: Male#0282	setOQ 
QQQ10762.	Hall/VdC Norms: Male#0283	setOF 
QQQ10763.	Hall/VdC Norms: Male#0284	setOQ 
QQQ10764.	Hall/VdC Norms: Male#0285	setOQ setIU setOQ 
QQQ10765.	Hall/VdC Norms: Male#0286	setIQ 
QQQ10766.	Hall/VdC Norms: Male#0287	setOQ 
QQQ10767.	Hall/VdC Norms: Male#0288	setOG 
QQQ10768.	Hall/VdC Norms: Male#0289	setOU setIU 
QQQ10769.	Hall/VdC Norms: Male#0290	setIU 
QQQ10770.	Hall/VdC Norms: Male#0291	setIF 
QQQ10771.	Hall/VdC Norms: Male#0292	setIF 
QQQ10772.	Hall/VdC Norms: Male#0293	setOF 
QQQ10773.	Hall/VdC Norms: Male#0294	setOF 
QQQ10774.	Hall/VdC Norms: Male#0295	setIF 
QQQ10775.	Hall/VdC Norms: Male#0296	setOU 
QQQ10776.	Hall/VdC Norms: Male#0297	setOQ 
QQQ10777.	Hall/VdC Norms: Male#0298	setOU setIQ 
QQQ10778.	Hall/VdC Norms: Male#0299	setOU 
QQQ10779.	Hall/VdC Norms: Male#0300	setIQ 
QQQ10780.	Hall/VdC Norms: Male#0301	setOG 
QQQ10781.	Hall/VdC Norms: Male#0302	setOQ 
QQQ10782.	Hall/VdC Norms: Male#0303	setOQ 
QQQ10783.	Hall/VdC Norms: Male#0304	setOQ 
QQQ10784.	Hall/VdC Norms: Male#0305	setIF 
QQQ10785.	Hall/VdC Norms: Male#0306	setIU 
QQQ10786.	Hall/VdC Norms: Male#0307	setAQ 
QQQ10787.	Hall/VdC Norms: Male#0308	setIU 
QQQ10788.	Hall/VdC Norms: Male#0309	setIF 
QQQ10789.	Hall/VdC Norms: Male#0310	setOG 
QQQ10790.	Hall/VdC Norms: Male#0311	setOG 
QQQ10791.	Hall/VdC Norms: Male#0312	setOF 
QQQ10792.	Hall/VdC Norms: Male#0313	setIQ 
QQQ10793.	Hall/VdC Norms: Male#0314	setOQ 
QQQ10794.	Hall/VdC Norms: Male#0315	setOD setIQ setOQ 
QQQ10795.	Hall/VdC Norms: Male#0316	setAQ setAG 
QQQ10796.	Hall/VdC Norms: Male#0317	setOQ 
QQQ10797.	Hall/VdC Norms: Male#0318	setIQ 
QQQ10798.	Hall/VdC Norms: Male#0319	setIF setOQ setIQ setOQ 
QQQ10799.	Hall/VdC Norms: Male#0320	setOQ setOF 
QQQ10800.	Hall/VdC Norms: Male#0321	setAQ 
QQQ10801.	Hall/VdC Norms: Male#0322	setOF 
QQQ10802.	Hall/VdC Norms: Male#0323	setIQ 
QQQ10803.	Hall/VdC Norms: Male#0324	setOQ 
QQQ10804.	Hall/VdC Norms: Male#0325	setOQ 
QQQ10805.	Hall/VdC Norms: Male#0326	setIQ 
QQQ10806.	Hall/VdC Norms: Male#0327	setOQ setIQ 
QQQ10807.	Hall/VdC Norms: Male#0328	setIQ 
QQQ10808.	Hall/VdC Norms: Male#0329	setIU 
QQQ10809.	Hall/VdC Norms: Male#0330	setIU setOF 
QQQ10810.	Hall/VdC Norms: Male#0331	setIQ 
QQQ10811.	Hall/VdC Norms: Male#0332	setOF setID 
QQQ10812.	Hall/VdC Norms: Male#0333	setIQ 
QQQ10813.	Hall/VdC Norms: Male#0334	setIF 
QQQ10814.	Hall/VdC Norms: Male#0335	setOF 
QQQ10815.	Hall/VdC Norms: Male#0336	setIF 
QQQ10816.	Hall/VdC Norms: Male#0337	setAQ 
QQQ10817.	Hall/VdC Norms: Male#0338	setID 
QQQ10818.	Hall/VdC Norms: Male#0339	setIF 
QQQ10819.	Hall/VdC Norms: Male#0340	setOG 
QQQ10820.	Hall/VdC Norms: Male#0341	setAF 
QQQ10821.	Hall/VdC Norms: Male#0342	setIF 
QQQ10822.	Hall/VdC Norms: Male#0343	setOQ setIQ setOQ 
QQQ10823.	Hall/VdC Norms: Male#0344	setOQ 
QQQ10824.	Hall/VdC Norms: Male#0345	setIF 
QQQ10825.	Hall/VdC Norms: Male#0346	setOF 
QQQ10826.	Hall/VdC Norms: Male#0347	setAQ 
QQQ10827.	Hall/VdC Norms: Male#0348	setIF setIF 
QQQ10828.	Hall/VdC Norms: Male#0350	setOG setOQ 
QQQ10829.	Hall/VdC Norms: Male#0352	setIQ 
QQQ10830.	Hall/VdC Norms: Male#0353	setIF setOQ 
QQQ10831.	Hall/VdC Norms: Male#0354	setOQ 
QQQ10832.	Hall/VdC Norms: Male#0355	setIQ setIF 
QQQ10833.	Hall/VdC Norms: Male#0356	setIQ 
QQQ10834.	Hall/VdC Norms: Male#0357	setOG 
QQQ10835.	Hall/VdC Norms: Male#0358	setOU 
QQQ10836.	Hall/VdC Norms: Male#0359	setOQ 
QQQ10837.	Hall/VdC Norms: Male#0360	setOF 
QQQ10838.	Hall/VdC Norms: Male#0361	setIQ setOQ setIQ 
QQQ10839.	Hall/VdC Norms: Male#0362	setIF setOQ setIF 
QQQ10840.	Hall/VdC Norms: Male#0363	setIU setOU 
QQQ10841.	Hall/VdC Norms: Male#0364	setOG 
QQQ10842.	Hall/VdC Norms: Male#0365	setAQ 
QQQ10843.	Hall/VdC Norms: Male#0366	setIF setIF setOF 
QQQ10844.	Hall/VdC Norms: Male#0367	setOQ 
QQQ10845.	Hall/VdC Norms: Male#0368	setAQ 
QQQ10846.	Hall/VdC Norms: Male#0369	setIQ setOQ setIU 
QQQ10847.	Hall/VdC Norms: Male#0370	setIF 
QQQ10848.	Hall/VdC Norms: Male#0371	setOG 
QQQ10849.	Hall/VdC Norms: Male#0372	setOG setIU 
QQQ10850.	Hall/VdC Norms: Male#0373	setIQ 
QQQ10851.	Hall/VdC Norms: Male#0374	setOU 
QQQ10852.	Hall/VdC Norms: Male#0375	setOU 
QQQ10853.	Hall/VdC Norms: Male#0376	setIF setOF 
QQQ10854.	Hall/VdC Norms: Male#0377	setIU 
QQQ10855.	Hall/VdC Norms: Male#0378	setAU 
QQQ10856.	Hall/VdC Norms: Male#0379	setOU setIU 
QQQ10857.	Hall/VdC Norms: Male#0380	setOG 
QQQ10858.	Hall/VdC Norms: Male#0381	setIQ 
QQQ10859.	Hall/VdC Norms: Male#0382	setOQ 
QQQ10860.	Hall/VdC Norms: Male#0383	setIF 
QQQ10861.	Hall/VdC Norms: Male#0384	setIF 
QQQ10862.	Hall/VdC Norms: Male#0385	setIQ setIF 
QQQ10863.	Hall/VdC Norms: Male#0386	setIF 
QQQ10864.	Hall/VdC Norms: Male#0387	setOQ setIU 
QQQ10865.	Hall/VdC Norms: Male#0388	setOQ 
QQQ10866.	Hall/VdC Norms: Male#0389	setOF 
QQQ10867.	Hall/VdC Norms: Male#0390	setIF 
QQQ10868.	Hall/VdC Norms: Male#0391	setOQ setIF setOF setOQ setOQ 
QQQ10869.	Hall/VdC Norms: Male#0395	setOQ setIQ 
QQQ10870.	Hall/VdC Norms: Male#0396	setIU 
QQQ10871.	Hall/VdC Norms: Male#0397	setIF 
QQQ10872.	Hall/VdC Norms: Male#0398	setIF 
QQQ10873.	Hall/VdC Norms: Male#0399	setIQ setIF 
QQQ10874.	Hall/VdC Norms: Male#0400	setIF 
QQQ10875.	Hall/VdC Norms: Male#0401	setOU 
QQQ10876.	Hall/VdC Norms: Male#0402	setIU 
QQQ10877.	Hall/VdC Norms: Male#0403	setAQ 
QQQ10878.	Hall/VdC Norms: Male#0404	setOG 
QQQ10879.	Hall/VdC Norms: Male#0405	setIF 
QQQ10880.	Hall/VdC Norms: Male#0406	setIU 
QQQ10881.	Hall/VdC Norms: Male#0407	setOQ setIQ 
QQQ10882.	Hall/VdC Norms: Male#0408	setIU 
QQQ10883.	Hall/VdC Norms: Male#0409	setOU setIU 
QQQ10884.	Hall/VdC Norms: Male#0410	setIF 
QQQ10885.	Hall/VdC Norms: Male#0411	setIQ 
QQQ10886.	Hall/VdC Norms: Male#0412	setOQ 
QQQ10887.	Hall/VdC Norms: Male#0413	setOQ 
QQQ10888.	Hall/VdC Norms: Male#0414	setIQ 
QQQ10889.	Hall/VdC Norms: Male#0415	setOQ 
QQQ10890.	Hall/VdC Norms: Male#0416	setOU 
QQQ10891.	Hall/VdC Norms: Male#0417	setOQ 
QQQ10892.	Hall/VdC Norms: Male#0418	setOQ 
QQQ10893.	Hall/VdC Norms: Male#0419	setOQ 
QQQ10894.	Hall/VdC Norms: Male#0420	setOQ 
QQQ10895.	Hall/VdC Norms: Male#0421	setOU setIU 
QQQ10896.	Hall/VdC Norms: Male#0422	setIG 
QQQ10897.	Hall/VdC Norms: Male#0423	setOU setIQ setOU 
QQQ10898.	Hall/VdC Norms: Male#0424	setIF setOF setOQ 
QQQ10899.	Hall/VdC Norms: Male#0425	setOF 
QQQ10900.	Hall/VdC Norms: Male#0426	setIU 
QQQ10901.	Hall/VdC Norms: Male#0427	setOQ setIQ setOQ 
QQQ10902.	Hall/VdC Norms: Male#0428	setIU 
QQQ10903.	Hall/VdC Norms: Male#0429	setOQ 
QQQ10904.	Hall/VdC Norms: Male#0430	setAQ 
QQQ10905.	Hall/VdC Norms: Male#0431	setOQ 
QQQ10906.	Hall/VdC Norms: Male#0432	setIF 
QQQ10907.	Hall/VdC Norms: Male#0433	setIU setIU 
QQQ10908.	Hall/VdC Norms: Male#0434	setOQ 
QQQ10909.	Hall/VdC Norms: Male#0435	setOG 
QQQ10910.	Hall/VdC Norms: Male#0436	setAG setIQ 
QQQ10911.	Hall/VdC Norms: Male#0437	setIQ 
QQQ10912.	Hall/VdC Norms: Male#0438	setIU 
QQQ10913.	Hall/VdC Norms: Male#0439	setIQ 
QQQ10914.	Hall/VdC Norms: Male#0440	setOQ 
QQQ10915.	Hall/VdC Norms: Male#0441	setIQ 
QQQ10916.	Hall/VdC Norms: Male#0442	setIU 
QQQ10917.	Hall/VdC Norms: Male#0443	setIQ setOQ 
QQQ10918.	Hall/VdC Norms: Male#0444	setOU 
QQQ10919.	Hall/VdC Norms: Male#0445	setOG setOG 
QQQ10920.	Hall/VdC Norms: Male#0446	setAQ setOQ 
QQQ10921.	Hall/VdC Norms: Male#0447	setOQ 
QQQ10922.	Hall/VdC Norms: Male#0448	setOQ setIU 
QQQ10923.	Hall/VdC Norms: Male#0449	setOF setIF 
QQQ10924.	Hall/VdC Norms: Male#0450	setOF setOG setIF 
QQQ10925.	Hall/VdC Norms: Male#0451	setIQ setIQ 
QQQ10926.	Hall/VdC Norms: Male#0452	setIF 
QQQ10927.	Hall/VdC Norms: Male#0453	setOF 
