
QQQ9994.	Hall/VdC Norms: Female#0001	1MKA 1FMA 1IUA 1MKA 
QQQ10073.	Hall/VdC Norms: Female#0080	1MKA 1FUA 1MSA 2FOA 1FUA 2JYA 
QQQ10074.	Hall/VdC Norms: Female#0081	2JKA 
QQQ10075.	Hall/VdC Norms: Female#0082	
QQQ10076.	Hall/VdC Norms: Female#0083	1MKA 
QQQ10077.	Hall/VdC Norms: Female#0084	1FKA 1MKA 
QQQ10078.	Hall/VdC Norms: Female#0085	1FKA 2FKA 1FKA 
QQQ10079.	Hall/VdC Norms: Female#0086	2FKA 
QQQ10080.	Hall/VdC Norms: Female#0087	1MKA 
QQQ10081.	Hall/VdC Norms: Female#0088	1MSA 2MSA 2FSA 2JXA 1FRC 1FKA 
QQQ10082.	Hall/VdC Norms: Female#0089	1MKA 2MSA 2FSA 1MSA 1FSA 2MOA 1MSA 
QQQ10083.	Hall/VdC Norms: Female#0090	1MFA 1MUA 1FKA 2JUA 1FMA 1FTA 1IKA 
QQQ10084.	Hall/VdC Norms: Female#0091	2FKA 1FKA 1FKA 
QQQ10085.	Hall/VdC Norms: Female#0092	1FOA 1IPA 1FKA 1MKA 
QQQ10086.	Hall/VdC Norms: Female#0093	1MKA 2FKA 
QQQ10087.	Hall/VdC Norms: Female#0094	
QQQ10088.	Hall/VdC Norms: Female#0095	1MOA 2JSA 2MSA 
QQQ10089.	Hall/VdC Norms: Female#0096	1MKA 
QQQ10090.	Hall/VdC Norms: Female#0097	1FRA 
QQQ10091.	Hall/VdC Norms: Female#0098	2MOA 5FPA 
QQQ10092.	Hall/VdC Norms: Female#0099	1MKA 2JOA 
QQQ10093.	Hall/VdC Norms: Female#0100	1FMA 1MFA 
QQQ10094.	Hall/VdC Norms: Female#0101	1FTA 1FMA 2JUA 
QQQ10095.	Hall/VdC Norms: Female#0102	2JXA 1MRA 1FRA 1ANI 1IUA 1IUA 1ANI 
QQQ10096.	Hall/VdC Norms: Female#0103	2JSA 2JUA 
QQQ10097.	Hall/VdC Norms: Female#0104	1FMA 2JYA 1FRA 
QQQ10098.	Hall/VdC Norms: Female#0105	2MUA 1FKA 
QQQ10099.	Hall/VdC Norms: Female#0106	1ANI 
QQQ10100.	Hall/VdC Norms: Female#0107	2JKA 
QQQ10101.	Hall/VdC Norms: Female#0108	1FTA 
QQQ10102.	Hall/VdC Norms: Female#0109	1MKA 2JSA 1MUA 
QQQ10103.	Hall/VdC Norms: Female#0110	2FKA 1FKA 
QQQ10104.	Hall/VdC Norms: Female#0111	2ANI 
QQQ10105.	Hall/VdC Norms: Female#0112	1MKA 1MKA 
QQQ10106.	Hall/VdC Norms: Female#0113	2JXA 2JYA 7MSA 8ANI 
QQQ10107.	Hall/VdC Norms: Female#0114	
QQQ10108.	Hall/VdC Norms: Female#0115	
QQQ10109.	Hall/VdC Norms: Female#0116	2FRA 1IRB 1FRA 1FRA 1FRA 1FUA 
QQQ10110.	Hall/VdC Norms: Female#0117	1MOA 1MUA 1FKA 
QQQ10111.	Hall/VdC Norms: Female#0118	1MKA 1MSA 1FUA 1MSA 1MHA 
QQQ10112.	Hall/VdC Norms: Female#0119	1FKA 1MSA 
QQQ10113.	Hall/VdC Norms: Female#0120	1MKA 1FKC 1MFA 
QQQ10114.	Hall/VdC Norms: Female#0121	1ANI 1ANI 1FMA 
QQQ10115.	Hall/VdC Norms: Female#0122	1ANI 1FMA 1MOA 
QQQ10116.	Hall/VdC Norms: Female#0123	2FKA 1IKA 1FUA 1FUA 
QQQ10117.	Hall/VdC Norms: Female#0124	1FKA 
QQQ10118.	Hall/VdC Norms: Female#0125	1IKA 2FKA 1FKA 1FMA 1MOA 2MOA 
QQQ10119.	Hall/VdC Norms: Female#0126	1MKA 
QQQ10120.	Hall/VdC Norms: Female#0127	2FKA 1FTA 2JSA 
QQQ10121.	Hall/VdC Norms: Female#0128	1FTA 1FMA 1MBA 
QQQ10122.	Hall/VdC Norms: Female#0129	1MOA 1FMA 
QQQ10123.	Hall/VdC Norms: Female#0130	1FSA 1MSA 1FMA 
QQQ10124.	Hall/VdC Norms: Female#0131	1ISA 1FRA 1MRA 2FSA 1FMA 1MFA 
QQQ10125.	Hall/VdC Norms: Female#0132	1ANI 1MOA 1FMA 
QQQ10126.	Hall/VdC Norms: Female#0133	
QQQ10127.	Hall/VdC Norms: Female#0134	1FKA 1ANI 
QQQ10128.	Hall/VdC Norms: Female#0135	4FEA 2FEA 3FEA 1FEA 
QQQ10129.	Hall/VdC Norms: Female#0136	1MOA 1FOA 1MOA 
QQQ10130.	Hall/VdC Norms: Female#0137	1FST 2JSA 1MSA 
QQQ10131.	Hall/VdC Norms: Female#0138	1ANI 
QQQ10132.	Hall/VdC Norms: Female#0139	1FOA 
QQQ10133.	Hall/VdC Norms: Female#0140	2JSA 
QQQ10134.	Hall/VdC Norms: Female#0141	1FSA 1MUA 
QQQ10135.	Hall/VdC Norms: Female#0142	2ISA 1ANI 2ISA 
QQQ10136.	Hall/VdC Norms: Female#0143	1FMA 
QQQ10137.	Hall/VdC Norms: Female#0144	1MOA 2JSA 1FMA 
QQQ10138.	Hall/VdC Norms: Female#0145	2FKA 1MKA 
QQQ10139.	Hall/VdC Norms: Female#0147	1FKA 1FMA 1IUA 
QQQ10140.	Hall/VdC Norms: Female#0148	1IUA 1FKA 1FKA 1FMA 1MKA 
QQQ10141.	Hall/VdC Norms: Female#0149	1MUA 1FSA 2ANI 
QQQ10142.	Hall/VdC Norms: Female#0150	1FUA 1ISB 1IKA 
QQQ10143.	Hall/VdC Norms: Female#0151	2JUA 1MKA 1MOA 
QQQ10144.	Hall/VdC Norms: Female#0152	1MKA 
QQQ10145.	Hall/VdC Norms: Female#0153	1FKA 1FKA 1MSA 
QQQ10146.	Hall/VdC Norms: Female#0154	1MKA 
QQQ10147.	Hall/VdC Norms: Female#0155	2JSA 1ISA 
QQQ10148.	Hall/VdC Norms: Female#0156	2IKC 1FKA 1IKC 1FKA 
QQQ10149.	Hall/VdC Norms: Female#0157	1MKA 
QQQ10150.	Hall/VdC Norms: Female#0158	1MKA 1FKA 1MUA 1FMA 1ISA 
QQQ10151.	Hall/VdC Norms: Female#0159	1FKA 1FKA 
QQQ10152.	Hall/VdC Norms: Female#0160	2JEA 2JEA 1FEA 1MKC 1FKC 1IOA 1IOA 1FKA 1MKC 
QQQ10153.	Hall/VdC Norms: Female#0161	2JKA 2JKA 1FKA 1FEA 2MEC 
QQQ10154.	Hall/VdC Norms: Female#0162	1FKA 2JUC 2FKA 1FRA 1MHA 1FKA 1FKB 
QQQ10155.	Hall/VdC Norms: Female#0163	1FKA 2JUC 2FKA 1FRA 1MHA 1FKA 1FKB 
QQQ10156.	Hall/VdC Norms: Female#0164	2JKC 1MPA 2JOA 1IOA 1MHA 2JOA 1MPA 
QQQ10157.	Hall/VdC Norms: Female#0165	1MHA 2MEA 
QQQ10158.	Hall/VdC Norms: Female#0166	1MKA 
QQQ10159.	Hall/VdC Norms: Female#0167	1FKA 
QQQ10160.	Hall/VdC Norms: Female#0168	1MFA 
QQQ10161.	Hall/VdC Norms: Female#0169	2JSA 2JSA 
QQQ10162.	Hall/VdC Norms: Female#0170	
QQQ10163.	Hall/VdC Norms: Female#0171	1MUA 
QQQ10164.	Hall/VdC Norms: Female#0172	1MUA 
QQQ10165.	Hall/VdC Norms: Female#0173	1FKA 
QQQ10166.	Hall/VdC Norms: Female#0174	2JYA 
QQQ10167.	Hall/VdC Norms: Female#0175	1MSA 1MRA 
QQQ10168.	Hall/VdC Norms: Female#0176	1FSA 1FKA 
QQQ10169.	Hall/VdC Norms: Female#0177	1MSA 1FSA 1MSA 3MSA 1FSA 1FSA 
QQQ10170.	Hall/VdC Norms: Female#0178	1FKA 1FKA 1FKA 
QQQ10171.	Hall/VdC Norms: Female#0179	1FKA 1MFA 
QQQ10172.	Hall/VdC Norms: Female#0180	1FMA 2JYA 1FTA 
QQQ10173.	Hall/VdC Norms: Female#0181	1MKA 2ISC 1FSA 
QQQ10174.	Hall/VdC Norms: Female#0182	1FSA 2JSA 
QQQ10175.	Hall/VdC Norms: Female#0183	1FKA 1FKA 1MKA 1FKA 
QQQ10176.	Hall/VdC Norms: Female#0184	1MKA 1MKA 
QQQ10177.	Hall/VdC Norms: Female#0185	1MFA 1FSA 1MKA 1IKA 
QQQ10178.	Hall/VdC Norms: Female#0186	1MSA 1MKA 2JSC 
QQQ10179.	Hall/VdC Norms: Female#0187	2FUA 1MSA 2MSA 1FSA 1FUA 3MKA 
QQQ10180.	Hall/VdC Norms: Female#0188	1FKA 1FUA 1FUB 
QQQ10181.	Hall/VdC Norms: Female#0189	1FKA 1MOA 
QQQ10182.	Hall/VdC Norms: Female#0190	1FSA 2JSA 1FSA 
QQQ10183.	Hall/VdC Norms: Female#0191	1FSC 1MFA 
QQQ10184.	Hall/VdC Norms: Female#0192	1MKA 
QQQ10185.	Hall/VdC Norms: Female#0193	1MKA 1MKA 1FKA 
QQQ10186.	Hall/VdC Norms: Female#0194	2IKA 1FUA 1IOA 1IKA 2JOA 2JOA 1MUA 2IOA 
QQQ10187.	Hall/VdC Norms: Female#0195	1FMA 1FSA 1FKA 
QQQ10188.	Hall/VdC Norms: Female#0196	1FTT 1FMA 1FKA 1MUA 1MBA 2MSA 1FOA 1IUA 
QQQ10189.	Hall/VdC Norms: Female#0197	2FKA 2FKA 1FKA 2FKA 2FOA 2FSA 
QQQ10190.	Hall/VdC Norms: Female#0198	1FKA 1MKA 
QQQ10191.	Hall/VdC Norms: Female#0199	2FOA 1FOA 2FST 
QQQ10192.	Hall/VdC Norms: Female#0200	1MPA 2MOA 1MSA 1MOA 
QQQ10193.	Hall/VdC Norms: Female#0201	1FKA 1MKA 2JSA 1IKA 
QQQ10194.	Hall/VdC Norms: Female#0202	1MKA 1FKA 2JSA 
QQQ10195.	Hall/VdC Norms: Female#0203	1FOA 1FKA 
QQQ10196.	Hall/VdC Norms: Female#0204	1FOA 5MPA 5FPA 
QQQ10197.	Hall/VdC Norms: Female#0205	2JSA 
QQQ10198.	Hall/VdC Norms: Female#0206	1MKA 1MKA 1MBA 
QQQ10199.	Hall/VdC Norms: Female#0207	1FKA 1IUA 
QQQ10200.	Hall/VdC Norms: Female#0208	1FOA 2IOA 1MKA 
QQQ10201.	Hall/VdC Norms: Female#0209	1MKA 1MKA 
QQQ10202.	Hall/VdC Norms: Female#0210	1MUA 1FUA 1IUA 
QQQ10203.	Hall/VdC Norms: Female#0211	2FKA 1IUA 1IUA 1FKA 
QQQ10204.	Hall/VdC Norms: Female#0212	2JUA 
QQQ10205.	Hall/VdC Norms: Female#0213	2IUA 1MUA 1FUA 1MUA 
QQQ10206.	Hall/VdC Norms: Female#0214	1MFA 
QQQ10207.	Hall/VdC Norms: Female#0215	2FUA 1MSA 1FSA 1MEA 
QQQ10208.	Hall/VdC Norms: Female#0216	1MKA 2IKA 1IRA 2JXA 
QQQ10209.	Hall/VdC Norms: Female#0217	1FKA 1FKA 1FKA 
QQQ10210.	Hall/VdC Norms: Female#0218	
QQQ10211.	Hall/VdC Norms: Female#0219	1FKA 1MKA 1MOA 
QQQ10212.	Hall/VdC Norms: Female#0220	1FKA 
QQQ10213.	Hall/VdC Norms: Female#0221	1MKA 2JSA 1MSA 
QQQ10214.	Hall/VdC Norms: Female#0222	2IKC 1FKC 
QQQ10215.	Hall/VdC Norms: Female#0223	2JUA 1MKA 1MKA 
QQQ10216.	Hall/VdC Norms: Female#0224	1MKA 1MKA 1FKA 1FOA 
QQQ10217.	Hall/VdC Norms: Female#0225	1ISA 1ISA 1ISA 1FPA 
QQQ10218.	Hall/VdC Norms: Female#0226	1MKA 1MFA 
QQQ10219.	Hall/VdC Norms: Female#0227	2JSA 2FSA 1MPA 1MSA 1FSA 1FMA 1MOA 
QQQ10220.	Hall/VdC Norms: Female#0228	2FSA 2FUA 1FKA 
QQQ10221.	Hall/VdC Norms: Female#0229	2JKA 2FKA 1MKA 1FSA 2FOA 
QQQ10222.	Hall/VdC Norms: Female#0230	2JUA 1MKA 2JOA 
QQQ10223.	Hall/VdC Norms: Female#0231	1MSA 1FKA 
QQQ10224.	Hall/VdC Norms: Female#0232	1FKA 2FOA 1FTT 2ANI 
QQQ10225.	Hall/VdC Norms: Female#0233	1FRA 1MFA 1FTT 
QQQ10226.	Hall/VdC Norms: Female#0234	1ANI 1ANI 
QQQ10227.	Hall/VdC Norms: Female#0235	1MKA 1MKA 1IUA 
QQQ10228.	Hall/VdC Norms: Female#0236	1MKA 1FUA 
QQQ10229.	Hall/VdC Norms: Female#0237	2JUA 1IUA 2MUA 1FKA 1MSA 
QQQ10230.	Hall/VdC Norms: Female#0238	1MOA 2FKA 2JSA 
QQQ10231.	Hall/VdC Norms: Female#0239	2FKA 
QQQ10232.	Hall/VdC Norms: Female#0240	1MOA 2IUA 1IUA 
QQQ10233.	Hall/VdC Norms: Female#0241	2IUC 2JUA 1FMA 
QQQ10234.	Hall/VdC Norms: Female#0242	2IUA 
QQQ10235.	Hall/VdC Norms: Female#0243	1MKA 
QQQ10236.	Hall/VdC Norms: Female#0244	2FKA 1ISB 1MOA 1FKA 
QQQ10237.	Hall/VdC Norms: Female#0245	1MKA 2JSA 
QQQ10238.	Hall/VdC Norms: Female#0246	2MUA 1MFA 1MBA 
QQQ10239.	Hall/VdC Norms: Female#0247	2IKA 1FRT 
QQQ10240.	Hall/VdC Norms: Female#0248	1MSA 2JKA 2ANI 
QQQ10241.	Hall/VdC Norms: Female#0249	1FMA 1FTA 1MPA 2MSA 
QQQ10242.	Hall/VdC Norms: Female#0250	1FKA 1FTA 2FKA 1MFA 2MBC 1MBT 1MOA 
QQQ10243.	Hall/VdC Norms: Female#0251	1MKA 1FKA 
QQQ10244.	Hall/VdC Norms: Female#0252	2JXA 1FMA 
QQQ10245.	Hall/VdC Norms: Female#0253	2MKA 1MKA 2MOA 2MKA 
QQQ10246.	Hall/VdC Norms: Female#0254	1FKA 1ANI 
QQQ10247.	Hall/VdC Norms: Female#0255	2ISA 
QQQ10248.	Hall/VdC Norms: Female#0256	1FTT 1MFA 
QQQ10249.	Hall/VdC Norms: Female#0257	1MSA 1MBC 1FMA 2MOA 
QQQ10250.	Hall/VdC Norms: Female#0258	1FTT 
QQQ10251.	Hall/VdC Norms: Female#0259	2JKA 1MKA 1FKA 1FKA 1MKA 1FTA 1MKA 
QQQ10252.	Hall/VdC Norms: Female#0260	1IKA 1MRA 1FRA 
QQQ10253.	Hall/VdC Norms: Female#0261	1FKA 5FPA 
QQQ10254.	Hall/VdC Norms: Female#0262	2JEA 2JEA 2ANI 1FEC 2MSA 
QQQ10255.	Hall/VdC Norms: Female#0263	1FSA 1FMA 1FKA 1FMA 1MFA 1MKA 
QQQ10256.	Hall/VdC Norms: Female#0264	2JUA 1MKA 2JKA 
QQQ10257.	Hall/VdC Norms: Female#0265	1IOA 
QQQ10258.	Hall/VdC Norms: Female#0266	
QQQ10259.	Hall/VdC Norms: Female#0267	2JUA 1MUA 1ISA 
QQQ10260.	Hall/VdC Norms: Female#0268	
QQQ10261.	Hall/VdC Norms: Female#0269	1FMA 1FUA 2JUC 1MSA 
QQQ10262.	Hall/VdC Norms: Female#0270	2MKA 2MOA 1ISA 4ISA 
QQQ10263.	Hall/VdC Norms: Female#0271	1MHA 1FKA 1MKA 2JSA 
QQQ10264.	Hall/VdC Norms: Female#0272	1FKA 1MKA 2JKA 1MKA 2JKA 1MHA 
QQQ10265.	Hall/VdC Norms: Female#0273	1MHA 2IKA 1FKA 2IKA 
QQQ10266.	Hall/VdC Norms: Female#0274	2JUA 1MUA 1FUA 
QQQ10267.	Hall/VdC Norms: Female#0275	1FKA 2IUA 2IKA 1FKA 1MHA 
QQQ10268.	Hall/VdC Norms: Female#0276	1FKA 
QQQ10269.	Hall/VdC Norms: Female#0277	1MKA 1FOA 1MOA 
QQQ10270.	Hall/VdC Norms: Female#0278	1MKA 1FKA 1FKA 1FKC 
QQQ10271.	Hall/VdC Norms: Female#0279	1FOA 1FKA 1FSA 1ANI 
QQQ10272.	Hall/VdC Norms: Female#0280	1FMA 1FKA 
QQQ10273.	Hall/VdC Norms: Female#0281	2MOA 5MPA 1MOA 2JSA 
QQQ10274.	Hall/VdC Norms: Female#0282	2MEA 2FEA 2JEA 
QQQ10275.	Hall/VdC Norms: Female#0283	1FSA 
QQQ10276.	Hall/VdC Norms: Female#0284	1MSA 
QQQ10277.	Hall/VdC Norms: Female#0285	1FSA 1FSA 1MSA 
QQQ10278.	Hall/VdC Norms: Female#0286	1FKA 1MSA 
QQQ10279.	Hall/VdC Norms: Female#0287	1FKA 1FKA 
QQQ10280.	Hall/VdC Norms: Female#0288	1FMA 1MFA 1MBC 8FRA 
QQQ10281.	Hall/VdC Norms: Female#0289	1FKA 1FEC 1MSB 
QQQ10282.	Hall/VdC Norms: Female#0290	2FSA 2JSB 1FSA 1ISB 1FKA 1FKA 
QQQ10283.	Hall/VdC Norms: Female#0291	2IKA 1ANI 2JXA 1FMA 
QQQ10284.	Hall/VdC Norms: Female#0292	1MKA 1ANI 1MOA 
QQQ10285.	Hall/VdC Norms: Female#0293	1MUA 1FUA 
QQQ10286.	Hall/VdC Norms: Female#0294	1FTA 1FSA 
QQQ10287.	Hall/VdC Norms: Female#0295	1FMA 2JOA 1MOA 
QQQ10288.	Hall/VdC Norms: Female#0296	1FTC 1FRA 
QQQ10289.	Hall/VdC Norms: Female#0297	1MPA 1FPA 2MUA 1MKA 2FUA 
QQQ10290.	Hall/VdC Norms: Female#0298	1FRC 1FRT 1FTC 1FTT 1MRA 1FRA 1FRA 2JSA 
QQQ10291.	Hall/VdC Norms: Female#0299	1MUA 1MKA 1FTT 1MSA 1MKA 
QQQ10292.	Hall/VdC Norms: Female#0300	1MKA 1FRA 
QQQ10293.	Hall/VdC Norms: Female#0301	2JSA 1MKA 2FKA 1FKA 1FKA 1FKA 
QQQ10294.	Hall/VdC Norms: Female#0302	2JRA 1FKA 
QQQ10295.	Hall/VdC Norms: Female#0303	1MOA 2JUA 
QQQ10296.	Hall/VdC Norms: Female#0304	1MKA 2FUA 
QQQ10297.	Hall/VdC Norms: Female#0306	1MKA 1FUA 
QQQ10298.	Hall/VdC Norms: Female#0307	1FKA 2FSA 1MKA 
QQQ10299.	Hall/VdC Norms: Female#0308	2FSA 2FKA 1MFA 1MFA 
QQQ10300.	Hall/VdC Norms: Female#0309	1FOA 2JUA 1FSA 1MKA 
QQQ10301.	Hall/VdC Norms: Female#0310	2JSA 1MKA 2MSA 1MKA 1MKA 
QQQ10302.	Hall/VdC Norms: Female#0311	2IKA 2FKA 2IKA 
QQQ10303.	Hall/VdC Norms: Female#0312	2JXA 1MBA 
QQQ10304.	Hall/VdC Norms: Female#0313	1FRA 2JSA 
QQQ10305.	Hall/VdC Norms: Female#0314	
QQQ10306.	Hall/VdC Norms: Female#0315	1MBA 2JKA 1IKB 1FMA 
QQQ10307.	Hall/VdC Norms: Female#0316	2FKA 
QQQ10308.	Hall/VdC Norms: Female#0317	1MKA 1MRA 2IUA 
QQQ10309.	Hall/VdC Norms: Female#0318	2JUA 1MKA 2JKA 
QQQ10310.	Hall/VdC Norms: Female#0319	1MKA 1FKA 1FKA 
QQQ10311.	Hall/VdC Norms: Female#0320	1MKA 2JXA 1MRA 1MKA 1FKA 
QQQ10312.	Hall/VdC Norms: Female#0321	1MKA 2JSC 1IUA 1MKA 1MFA 
QQQ10313.	Hall/VdC Norms: Female#0322	1IKA 1FKA 1FKA 2FSA 1IKA 
QQQ10314.	Hall/VdC Norms: Female#0323	1FKA 1FKA 2FKA 1ANI 
QQQ10315.	Hall/VdC Norms: Female#0324	1FKA 1MKA 1FOA 
QQQ10316.	Hall/VdC Norms: Female#0325	1MKA 1MKA 1FKA 2FKA 
QQQ10317.	Hall/VdC Norms: Female#0326	1FUA 1MSA 1FUA 
QQQ10318.	Hall/VdC Norms: Female#0327	1FKA 2JKA 1FMA 
QQQ10319.	Hall/VdC Norms: Female#0328	2JSC 1MSC 1MSC 8MSA 
QQQ10320.	Hall/VdC Norms: Female#0330	1FUA 1MUA 2JSA 1FSA 1FMA 2JSA 1MBA 
QQQ10321.	Hall/VdC Norms: Female#0331	1FKA 1ANI 1ANI 
QQQ10322.	Hall/VdC Norms: Female#0332	2JSA 1MKA 1FKA 2FUA 1IUA 1IKA 
QQQ10323.	Hall/VdC Norms: Female#0333	1FKA 1MSA 2MEA 2JSA 1MEA 1ISA 
QQQ10324.	Hall/VdC Norms: Female#0334	1MKA 1FKA 
QQQ10325.	Hall/VdC Norms: Female#0335	1MKA 2JEA 1FKA 
QQQ10326.	Hall/VdC Norms: Female#0336	1MKA 1MKA 1MBA 1FRA 1IRB 
QQQ10327.	Hall/VdC Norms: Female#0337	1FMA 1FUA 1FTA 
QQQ10328.	Hall/VdC Norms: Female#0338	2MSC 1MSC 1FSA 1MFA 1MKA 2MKA 
QQQ10329.	Hall/VdC Norms: Female#0339	1MRA 1IOA 1FTA 1FTA 1MOA 
QQQ10330.	Hall/VdC Norms: Female#0340	2JXA 1MSA 1MFA 2MUA 
QQQ10331.	Hall/VdC Norms: Female#0341	2JKA 1MKA 1MKA 2IUA 
QQQ10332.	Hall/VdC Norms: Female#0342	1MKA 2JSA 1MSA 1MPA 1FEA 1FOA 
QQQ10333.	Hall/VdC Norms: Female#0343	2JKA 1MKA 1FMA 2IUC 
QQQ10334.	Hall/VdC Norms: Female#0344	1MBT 
QQQ10335.	Hall/VdC Norms: Female#0345	1ISA 2IOA 
QQQ10336.	Hall/VdC Norms: Female#0348	2FKA 1FKA 
QQQ10337.	Hall/VdC Norms: Female#0349	2FUA 1FKA 1MUA 2JUA 2FKA 
